component_name,phrase,reps,phrase_component_tickets,phrase_len,reps_total,phrase_tickets,iam_users_count,tickets_per_component,importance,precision,recall,f1,row
string,string,int64,int64,int32,int64,int64,int64,int64,double,double,double,double,int32
compute.rdp,работать rdp,8,6,2,12,6,6,252,0.6666666666666666,1,0.023809523809523808,0.046511627906976744,1
compute.rdp,rdp мочь подключиться,6,6,3,14,8,8,252,0.42857142857142855,0.75,0.023809523809523808,0.04615384615384615,3
compute.rdp,нет доступ rdp,4,4,3,6,5,5,252,0.6666666666666666,0.8,0.015873015873015872,0.0311284046692607,8
compute.snapshot,снапшота здравствуйте,7,7,2,9,7,6,362,0.7777777777777778,1,0.019337016574585635,0.037940379403794036,1
compute.snapshot,хранение снимок,5,5,2,8,6,6,362,0.625,0.8333333333333334,0.013812154696132596,0.02717391304347826,7
compute.snapshot,создать снапшота,5,5,2,16,7,7,362,0.3125,0.7142857142857143,0.013812154696132596,0.027100271002710025,12
compute.snapshot,перенос снимок,8,7,2,12,10,10,362,0.6666666666666666,0.7,0.019337016574585635,0.03763440860215053,3
compute.snapshot,снапшот диск,5,5,2,11,6,6,362,0.45454545454545453,0.8333333333333334,0.013812154696132596,0.02717391304347826,8
compute.snapshot,этот снимок,5,4,2,10,5,5,362,0.5,0.8,0.011049723756906077,0.021798365122615806,15
compute.snapshot,снимка диск виртуальный,6,6,3,11,7,7,362,0.5454545454545454,0.8571428571428571,0.016574585635359115,0.032520325203252036,6
compute.snapshot,снимок диск виртуальный,5,5,3,11,7,7,362,0.45454545454545453,0.7142857142857143,0.013812154696132596,0.027100271002710025,13
compute.snapshot,восстановить система,4,4,2,6,5,5,362,0.6666666666666666,0.8,0.011049723756906077,0.021798365122615806,17
compute.snapshot,образ снимка,4,4,2,11,5,5,362,0.36363636363636365,0.8,0.011049723756906077,0.021798365122615806,16
compute.snapshot,снимка добрый,7,7,2,10,7,7,362,0.7,1,0.019337016574585635,0.037940379403794036,2
compute.snapshot,автоматический создание снимок,6,5,3,8,6,6,362,0.75,0.8333333333333334,0.013812154696132596,0.02717391304347826,10
compute.ssh,ssh ключ,263,196,2,441,276,265,845,0.5963718820861678,0.7101449275362319,0.2319526627218935,0.3496877787689563,1
compute.ssh,public key,25,21,2,40,29,28,845,0.625,0.7241379310344828,0.02485207100591716,0.04805491990846682,12
compute.ssh,keyex,21,18,1,31,22,22,845,0.6774193548387096,0.8181818181818182,0.021301775147928994,0.041522491349480974,14
compute.ssh,ssh здравствуйте,40,40,2,66,53,51,845,0.6060606060606061,0.7547169811320755,0.047337278106508875,0.08908685968819599,7
compute.ssh,putty,84,61,1,134,84,82,845,0.6268656716417911,0.7261904761904762,0.07218934911242604,0.13132400430570507,6
compute.ssh,публичный ключ,70,63,2,128,90,87,845,0.546875,0.7,0.07455621301775148,0.13475935828877003,5
compute.ssh,gssapi,42,18,1,62,22,22,845,0.6774193548387096,0.8181818181818182,0.021301775147928994,0.041522491349480974,15
compute.ssh,publickey,122,105,1,232,148,142,845,0.5258620689655172,0.7094594594594594,0.1242603550295858,0.21148036253776434,2
compute.ssh,ssh при,24,23,2,40,32,32,845,0.6,0.71875,0.027218934911242602,0.052451539338654506,10
compute.vm,зависание сервер,6,5,2,7,6,6,1992,0.8571428571428571,0.8333333333333334,0.0025100401606425703,0.005005005005005005,8
compute.vm,зависнуть машина,6,4,2,8,5,5,1992,0.75,0.8,0.002008032128514056,0.00400600901352028,12
compute.windows,активация windows,9,8,2,13,9,9,476,0.6923076923076923,0.8888888888888888,0.01680672268907563,0.032989690721649485,1
compute.windows,виндоусый,7,6,1,12,8,8,476,0.5833333333333334,0.75,0.012605042016806723,0.02479338842975207,3
compute.windows,лицензия rds,5,5,2,7,5,5,476,0.7142857142857143,1,0.01050420168067227,0.02079002079002079,4
compute.windows,облако windows,5,5,2,10,7,7,476,0.5,0.7142857142857143,0.01050420168067227,0.02070393374741201,5
compute.windows,solutions windows,4,4,2,6,5,5,476,0.6666666666666666,0.8,0.008403361344537815,0.016632016632016633,6
container registry,container registry,180,110,2,392,155,142,311,0.45918367346938777,0.7096774193548387,0.3536977491961415,0.4721030042918455,1
container registry,yandex container,31,18,2,47,20,19,311,0.6595744680851063,0.9,0.05787781350482315,0.10876132930513595,8
container registry,реджистереть,15,13,1,25,15,13,311,0.6,0.8666666666666667,0.04180064308681672,0.07975460122699386,18
container registry,docs container,18,17,2,31,23,22,311,0.5806451612903226,0.7391304347826086,0.05466237942122187,0.10179640718562875,12
container registry,with container,15,12,2,23,15,12,311,0.6521739130434783,0.8,0.03858520900321544,0.07361963190184048,20
container registry,registry здравствуйте,14,14,2,23,16,15,311,0.6086956521739131,0.875,0.04501607717041801,0.08562691131498472,15
container registry,registry добрый,31,31,2,49,34,32,311,0.6326530612244898,0.9117647058823529,0.09967845659163987,0.17971014492753623,2
container registry,образ yandex,14,14,2,30,20,20,311,0.4666666666666667,0.7,0.04501607717041801,0.08459214501510574,17
container registry,docker login,18,14,2,26,17,16,311,0.6923076923076923,0.8235294117647058,0.04501607717041801,0.08536585365853658,16
container registry,docker push,15,12,2,16,12,12,311,0.9375,1,0.03858520900321544,0.07430340557275542,19
data-transfer,datatransfer,22,15,1,26,16,11,85,0.8461538461538461,0.9375,0.17647058823529413,0.29702970297029707,3
data-transfer,трансфер,62,35,1,81,40,26,85,0.7654320987654321,0.875,0.4117647058823529,0.56,2
data-transfer,dst dst,7,5,2,8,6,5,85,0.875,0.8333333333333334,0.058823529411764705,0.10989010989010989,15
data-transfer,src src,5,4,2,7,5,5,85,0.7142857142857143,0.8,0.047058823529411764,0.08888888888888889,18
data-transfer,transfer добрый,6,6,2,8,8,8,85,0.75,0.75,0.07058823529411765,0.12903225806451613,10
data-transfer,data transfer,64,38,2,76,43,31,85,0.8421052631578947,0.8837209302325582,0.4470588235294118,0.5937500000000001,1
data-transfer,dst type,9,7,2,10,8,5,85,0.9,0.875,0.08235294117647059,0.15053763440860213,9
data-transfer,transfer здравствуйте,7,7,2,8,7,5,85,0.875,1,0.08235294117647059,0.15217391304347827,6
data-transfer,src type,9,7,2,9,7,5,85,1,1,0.08235294117647059,0.15217391304347827,7
datalens,dataset,45,39,1,55,45,37,1264,0.8181818181818182,0.8666666666666667,0.030854430379746837,0.059587471352177235,20
datalens,wizard,52,40,1,64,42,28,1264,0.8125,0.9523809523809523,0.03164556962025317,0.06125574272588056,17
datalens,чарт,397,246,1,456,265,165,1264,0.8706140350877193,0.9283018867924528,0.19462025316455697,0.3217789404839765,3
datalens,datalens,1099,642,1,1513,744,466,1264,0.7263714474553866,0.8629032258064516,0.5079113924050633,0.6394422310756972,1
datalens,дашборд,281,174,1,434,231,186,1264,0.6474654377880185,0.7532467532467533,0.13765822784810128,0.2327759197324415,4
datalens,датасет,497,285,1,567,299,184,1264,0.8765432098765432,0.9531772575250836,0.2254746835443038,0.3646833013435701,2
datalens,даталенс,53,40,1,64,45,36,1264,0.828125,0.8888888888888888,0.03164556962025317,0.061115355233002294,18
